student_id,subject_id,exam_type,marks_obtained,max_marks,attendance,exam_date
S00008,SUB003,Lab,32,100,76,2026-02-17
S00008,SUB004,IA1,69,100,91,2026-02-26
S00008,SUB005,EndSem,53,100,92,2026-03-09
S00008,SUB006,EndSem,71,100,89,2026-03-08
S00008,SUB007,IA1,77,100,95,2026-01-30
S00008,SUB008,Lab,54,100,75,2026-01-19
S00008,SUB009,IA1,90,100,92,2026-01-27
S00008,SUB010,IA1,55,100,65,2026-02-24
S00009,SUB001,IA2,65,100,78,2026-02-08
S00009,SUB002,IA1,50,100,94,2026-01-15
S00009,SUB003,EndSem,67,100,99,2026-03-04
S00009,SUB004,IA2,67,100,67,2026-03-04
S00009,SUB005,Lab,64,100,87,2026-02-07
S00009,SUB006,IA2,64,100,68,2026-03-12
S00009,SUB007,Lab,84,100,78,2026-01-28
S00009,SUB008,EndSem,79,100,97,2026-01-13
S00009,SUB009,EndSem,32,100,75,2026-01-26
S00009,SUB010,EndSem,78,100,98,2026-02-27
S00010,SUB001,IA2,85,100,79,2026-01-22
S00010,SUB002,EndSem,51,100,73,2026-02-17
S00010,SUB003,EndSem,90,100,61,2026-02-04
S00010,SUB004,IA1,81,100,96,2026-01-26
S00010,SUB005,IA1,88,100,64,2026-02-08
S00010,SUB006,Lab,71,100,83,2026-03-01
S00010,SUB007,EndSem,55,100,60,2026-01-27
S00010,SUB008,IA1,56,100,75,2026-02-24
S00010,SUB009,Lab,78,100,89,2026-01-19
S00010,SUB010,IA2,55,100,88,2026-03-05
S00011,SUB001,IA1,51,100,87,2026-03-04
S00011,SUB002,EndSem,66,100,97,2026-02-15
S00011,SUB003,IA1,65,100,90,2026-01-22
S00011,SUB004,Lab,90,100,87,2026-02-23
S00011,SUB005,Lab,60,100,100,2026-03-03
S00011,SUB006,Lab,87,100,70,2026-02-11
S00011,SUB007,Lab,79,100,66,2026-02-23
S00011,SUB008,IA1,35,100,83,2026-01-25
S00011,SUB009,EndSem,67,100,70,2026-02-05
S00011,SUB010,Lab,60,100,81,2026-01-26
S00012,SUB001,EndSem,85,100,90,2026-02-07
S00012,SUB002,Lab,66,100,90,2026-01-16
S00012,SUB003,EndSem,84,100,93,2026-02-03
S00012,SUB004,Lab,84,100,79,2026-01-27
S00012,SUB005,IA2,51,100,76,2026-01-30
S00012,SUB006,EndSem,67,100,64,2026-02-17
S00012,SUB007,EndSem,50,100,65,2026-03-13
S00012,SUB008,IA1,35,100,85,2026-01-16
S00012,SUB009,Lab,90,100,92,2026-03-06
S00012,SUB010,IA1,36,100,86,2026-02-09
S00013,SUB001,Lab,35,100,61,2026-03-05
S00013,SUB002,IA2,81,100,82,2026-01-24
S00013,SUB003,IA1,66,100,68,2026-03-11
S00013,SUB004,Lab,54,100,90,2026-02-08
S00013,SUB005,EndSem,36,100,64,2026-01-13
S00013,SUB006,Lab,58,100,93,2026-02-22
S00013,SUB007,Lab,34,100,97,2026-01-17
S00013,SUB008,IA2,46,100,74,2026-03-01
S00013,SUB009,IA2,50,100,66,2026-01-13
S00013,SUB010,IA2,76,100,100,2026-02-14
S00014,SUB001,Lab,66,100,92,2026-03-09
S00014,SUB002,EndSem,72,100,98,2026-03-03
S00014,SUB003,IA2,76,100,79,2026-01-26
S00014,SUB004,Lab,48,100,88,2026-01-25
S00014,SUB005,Lab,50,100,75,2026-02-11
S00014,SUB006,EndSem,69,100,80,2026-02-10
S00014,SUB007,Lab,57,100,87,2026-01-19
S00014,SUB008,Lab,39,100,66,2026-03-02
S00014,SUB009,IA1,43,100,85,2026-02-09
S00014,SUB010,IA2,80,100,79,2026-01-21
S00015,SUB001,Lab,32,100,85,2026-01-30
S00015,SUB002,IA2,38,100,64,2026-02-01
S00015,SUB003,IA1,87,100,73,2026-01-24
S00015,SUB004,IA1,89,100,62,2026-02-04
S00015,SUB005,EndSem,52,100,78,2026-03-04
S00015,SUB006,Lab,77,100,91,2026-03-02
S00015,SUB007,Lab,89,100,82,2026-02-09
S00015,SUB008,Lab,57,100,62,2026-02-02
S00015,SUB009,IA1,82,100,81,2026-01-24
S00015,SUB010,EndSem,68,100,71,2026-01-23
S00016,SUB001,IA1,89,100,72,2026-01-29
S00016,SUB002,IA1,44,100,78,2026-02-03
S00016,SUB003,EndSem,89,100,95,2026-01-28
S00016,SUB004,IA1,30,100,69,2026-02-14
S00016,SUB005,IA2,83,100,84,2026-02-11
S00016,SUB006,EndSem,39,100,93,2026-02-19
S00016,SUB007,IA1,53,100,83,2026-03-10
S00016,SUB008,Lab,53,100,64,2026-02-21
S00016,SUB009,IA1,44,100,73,2026-01-14
S00016,SUB010,EndSem,53,100,78,2026-02-06
S00017,SUB001,IA1,75,100,63,2026-03-07
S00017,SUB002,IA2,88,100,65,2026-01-22
S00017,SUB003,IA1,65,100,94,2026-03-08
S00017,SUB004,EndSem,79,100,63,2026-02-26
S00017,SUB005,IA2,39,100,66,2026-01-22
S00017,SUB006,EndSem,78,100,97,2026-01-26
S00017,SUB007,Lab,71,100,79,2026-01-13
S00017,SUB008,EndSem,90,100,77,2026-01-13
S00017,SUB009,Lab,66,100,86,2026-02-11
S00017,SUB010,EndSem,83,100,80,2026-03-01
S00018,SUB001,Lab,38,100,70,2026-01-21
S00018,SUB002,Lab,61,100,80,2026-03-01
S00018,SUB003,IA1,30,100,70,2026-01-21
S00018,SUB004,IA1,44,100,78,2026-01-19
S00018,SUB005,IA1,81,100,66,2026-02-23
S00018,SUB006,Lab,58,100,98,2026-01-23
S00018,SUB007,EndSem,56,100,63,2026-03-07
S00018,SUB008,IA1,64,100,61,2026-02-02
S00018,SUB009,IA2,74,100,83,2026-02-11
S00018,SUB010,Lab,35,100,95,2026-02-06
S00019,SUB001,Lab,55,100,100,2026-03-03
S00019,SUB002,EndSem,48,100,100,2026-02-06
S00019,SUB003,Lab,56,100,65,2026-02-24
S00019,SUB004,Lab,41,100,83,2026-01-25
S00019,SUB005,Lab,71,100,67,2026-01-29
S00019,SUB006,EndSem,54,100,88,2026-02-21
S00019,SUB007,IA1,75,100,65,2026-02-08
S00019,SUB008,Lab,60,100,78,2026-02-04
S00019,SUB009,IA2,42,100,73,2026-02-20
S00019,SUB010,EndSem,70,100,74,2026-01-26
S00020,SUB001,EndSem,37,100,90,2026-02-16
S00020,SUB002,EndSem,77,100,85,2026-02-06
S00020,SUB003,EndSem,81,100,67,2026-02-18
S00020,SUB004,EndSem,62,100,84,2026-01-17
S00020,SUB005,IA1,85,100,89,2026-03-04
S00020,SUB006,EndSem,64,100,62,2026-02-19
S00020,SUB007,IA2,34,100,61,2026-02-15
S00020,SUB008,EndSem,42,100,91,2026-01-17
S00020,SUB009,IA2,49,100,86,2026-02-19
S00020,SUB010,EndSem,77,100,99,2026-01-16
S00021,SUB001,Lab,70,100,91,2026-01-19
S00021,SUB002,IA2,84,100,60,2026-01-13
S00021,SUB003,IA2,72,100,80,2026-02-14
S00021,SUB004,IA1,72,100,99,2026-01-20
S00021,SUB005,IA1,57,100,78,2026-02-01
S00021,SUB006,IA1,75,100,80,2026-03-07
S00021,SUB007,Lab,87,100,95,2026-02-17
S00021,SUB008,Lab,51,100,86,2026-02-20
S00021,SUB009,IA2,72,100,63,2026-03-04
S00021,SUB010,EndSem,53,100,100,2026-01-20
S00022,SUB001,IA2,51,100,85,2026-02-04
S00022,SUB002,IA2,64,100,83,2026-02-15
S00022,SUB003,IA2,77,100,74,2026-01-18
S00022,SUB004,IA2,70,100,96,2026-03-07
S00022,SUB005,EndSem,87,100,69,2026-02-20
S00022,SUB006,IA1,87,100,86,2026-02-01
S00022,SUB007,IA1,70,100,95,2026-01-22
S00022,SUB008,IA2,83,100,99,2026-03-05
S00022,SUB009,Lab,62,100,70,2026-02-26
S00022,SUB010,IA1,59,100,79,2026-03-12
S00023,SUB001,EndSem,79,100,81,2026-02-08
S00023,SUB002,IA2,89,100,65,2026-02-22
S00023,SUB003,IA1,67,100,96,2026-02-08
S00023,SUB004,IA1,61,100,97,2026-02-23
S00023,SUB005,EndSem,81,100,65,2026-02-22
S00023,SUB006,Lab,62,100,83,2026-03-03
S00023,SUB007,IA2,84,100,76,2026-02-21
S00023,SUB008,Lab,57,100,67,2026-03-09
S00023,SUB009,IA1,86,100,68,2026-01-23
S00023,SUB010,EndSem,69,100,80,2026-02-20
S00024,SUB001,IA2,62,100,72,2026-02-09
S00024,SUB002,IA1,50,100,62,2026-02-20
S00024,SUB003,IA1,78,100,65,2026-03-07
S00024,SUB004,Lab,61,100,90,2026-01-25
S00024,SUB005,EndSem,40,100,92,2026-01-29
S00024,SUB006,IA2,65,100,80,2026-02-03
S00024,SUB007,Lab,75,100,74,2026-02-10
S00024,SUB008,IA1,69,100,88,2026-01-23
S00024,SUB009,EndSem,41,100,97,2026-02-23
S00024,SUB010,EndSem,52,100,78,2026-01-19
S00025,SUB001,IA1,63,100,63,2026-01-31
S00025,SUB002,Lab,86,100,87,2026-03-03
S00025,SUB003,IA1,37,100,87,2026-01-27
S00025,SUB004,Lab,38,100,78,2026-01-23
S00025,SUB005,IA1,61,100,62,2026-03-09
S00025,SUB006,EndSem,39,100,94,2026-03-08
S00025,SUB007,IA2,65,100,90,2026-03-13
S00025,SUB008,Lab,51,100,73,2026-02-28
S00025,SUB009,Lab,57,100,81,2026-01-22
S00025,SUB010,IA1,66,100,93,2026-02-01
S00026,SUB001,IA2,49,100,71,2026-02-18
S00026,SUB002,IA1,66,100,72,2026-02-28
S00026,SUB003,EndSem,57,100,97,2026-02-21
S00026,SUB004,EndSem,40,100,60,2026-01-21
S00026,SUB005,EndSem,77,100,61,2026-02-15
S00026,SUB006,Lab,52,100,76,2026-01-24
S00026,SUB007,IA1,68,100,68,2026-01-22
S00026,SUB008,EndSem,67,100,86,2026-03-07
S00026,SUB009,IA1,81,100,90,2026-01-16
S00026,SUB010,IA1,63,100,76,2026-02-04
S00027,SUB001,IA1,45,100,96,2026-02-08
S00027,SUB002,Lab,41,100,81,2026-01-20
S00027,SUB003,Lab,50,100,66,2026-03-12
S00027,SUB004,IA2,90,100,74,2026-02-04
S00027,SUB005,IA2,80,100,86,2026-01-17
S00027,SUB006,EndSem,73,100,90,2026-03-10
S00027,SUB007,EndSem,82,100,71,2026-02-25
S00027,SUB008,IA1,65,100,75,2026-01-19
S00027,SUB009,IA2,44,100,77,2026-01-15
S00027,SUB010,Lab,90,100,67,2026-02-02
S00028,SUB001,IA1,68,100,98,2026-03-09
S00028,SUB002,Lab,44,100,89,2026-02-05
S00028,SUB003,IA1,88,100,67,2026-03-04
S00028,SUB004,Lab,33,100,70,2026-02-14
S00028,SUB005,IA2,56,100,86,2026-03-07
S00028,SUB006,EndSem,66,100,94,2026-03-01
S00028,SUB007,EndSem,33,100,80,2026-02-06
S00028,SUB008,Lab,54,100,85,2026-03-04
S00028,SUB009,EndSem,86,100,70,2026-03-08
S00028,SUB010,Lab,77,100,97,2026-01-30
S00029,SUB001,EndSem,41,100,61,2026-02-08
S00029,SUB002,IA1,70,100,75,2026-03-02
S00029,SUB003,IA2,45,100,73,2026-03-04
S00029,SUB004,Lab,75,100,88,2026-02-02
S00029,SUB005,EndSem,55,100,99,2026-01-15
S00029,SUB006,IA1,62,100,100,2026-01-31
S00029,SUB007,IA1,34,100,85,2026-02-24
S00029,SUB008,EndSem,39,100,79,2026-03-01
S00029,SUB009,IA2,59,100,87,2026-01-29
S00029,SUB010,IA2,65,100,83,2026-02-10
S00030,SUB001,EndSem,75,100,94,2026-01-21
S00030,SUB002,Lab,61,100,63,2026-03-02
S00030,SUB003,EndSem,65,100,69,2026-02-04
S00030,SUB004,IA1,78,100,63,2026-02-12
S00030,SUB005,IA1,39,100,63,2026-02-26
S00030,SUB006,Lab,90,100,66,2026-03-08
S00030,SUB007,Lab,56,100,99,2026-01-14
S00030,SUB008,IA2,47,100,62,2026-02-17
S00030,SUB009,IA1,72,100,91,2026-02-14
S00030,SUB010,IA1,89,100,99,2026-03-13
S00031,SUB001,IA2,72,100,75,2026-03-08
S00031,SUB002,IA1,62,100,81,2026-03-09
S00031,SUB003,EndSem,90,100,75,2026-03-02
S00031,SUB004,Lab,66,100,77,2026-02-12
S00031,SUB005,Lab,39,100,61,2026-02-08
S00031,SUB006,EndSem,30,100,83,2026-02-11
S00031,SUB007,IA2,57,100,72,2026-02-12
S00031,SUB008,IA1,84,100,62,2026-01-24
S00031,SUB009,IA2,83,100,68,2026-01-31
S00031,SUB010,IA1,42,100,94,2026-02-07
S00032,SUB001,IA1,73,100,65,2026-02-04
S00032,SUB002,IA2,57,100,86,2026-02-20
S00032,SUB003,IA1,32,100,77,2026-02-13
S00032,SUB004,IA1,50,100,72,2026-01-31
S00032,SUB005,EndSem,82,100,86,2026-02-14
S00032,SUB006,Lab,38,100,99,2026-02-17
S00032,SUB007,Lab,51,100,71,2026-01-31
S00032,SUB008,EndSem,48,100,100,2026-01-24
S00032,SUB009,IA2,30,100,77,2026-02-25
S00032,SUB010,EndSem,86,100,89,2026-01-26
S00033,SUB001,IA1,68,100,89,2026-02-22
S00033,SUB002,IA2,50,100,76,2026-01-21
S00033,SUB003,IA1,40,100,68,2026-01-18
S00033,SUB004,Lab,58,100,92,2026-03-10
S00033,SUB005,IA1,73,100,82,2026-01-26
S00033,SUB006,Lab,67,100,70,2026-02-21
S00033,SUB007,EndSem,35,100,83,2026-02-03
S00033,SUB008,Lab,33,100,93,2026-02-14
S00033,SUB009,IA2,35,100,85,2026-02-23
S00033,SUB010,IA1,75,100,73,2026-02-05
S00034,SUB001,IA2,46,100,86,2026-01-23
S00034,SUB002,IA2,76,100,87,2026-03-07
S00034,SUB003,Lab,83,100,82,2026-01-27
S00034,SUB004,Lab,38,100,63,2026-03-02
S00034,SUB005,IA1,55,100,74,2026-02-06
S00034,SUB006,EndSem,68,100,70,2026-02-01
S00034,SUB007,IA1,34,100,80,2026-02-05
S00034,SUB008,Lab,51,100,100,2026-02-03
S00034,SUB009,IA1,76,100,88,2026-03-09
S00034,SUB010,IA2,67,100,81,2026-01-27
S00035,SUB001,IA1,41,100,60,2026-02-24
S00035,SUB002,Lab,74,100,69,2026-01-23
S00035,SUB003,IA2,75,100,78,2026-01-20
S00035,SUB004,IA2,34,100,92,2026-01-22
S00035,SUB005,Lab,60,100,94,2026-02-18
S00035,SUB006,Lab,46,100,75,2026-02-16
S00035,SUB007,Lab,51,100,100,2026-02-02
S00035,SUB008,IA1,74,100,100,2026-02-17
S00035,SUB009,IA2,38,100,67,2026-01-31
S00035,SUB010,IA2,71,100,60,2026-02-14
S00036,SUB001,EndSem,82,100,79,2026-01-24
S00036,SUB002,EndSem,40,100,96,2026-02-22
S00036,SUB003,IA2,82,100,90,2026-02-14
S00036,SUB004,Lab,31,100,84,2026-02-09
S00036,SUB005,Lab,76,100,79,2026-03-11
S00036,SUB006,IA1,77,100,97,2026-02-10
S00036,SUB007,IA1,58,100,69,2026-01-28
S00036,SUB008,IA1,90,100,89,2026-03-08
S00036,SUB009,Lab,66,100,80,2026-02-07
S00036,SUB010,IA2,42,100,63,2026-02-19
S00037,SUB001,EndSem,67,100,82,2026-02-09
S00037,SUB002,IA1,56,100,86,2026-02-12
S00037,SUB003,IA2,30,100,89,2026-01-15
S00037,SUB004,IA1,32,100,69,2026-03-12
S00037,SUB005,Lab,65,100,87,2026-01-14
S00037,SUB006,IA1,45,100,60,2026-02-25
S00037,SUB007,Lab,89,100,63,2026-01-14
S00037,SUB008,EndSem,63,100,82,2026-02-05
S00037,SUB009,Lab,69,100,64,2026-01-26
S00037,SUB010,Lab,40,100,61,2026-02-05
S00038,SUB001,EndSem,50,100,81,2026-02-13
S00038,SUB002,Lab,70,100,71,2026-02-26
S00038,SUB003,IA2,49,100,86,2026-02-14
S00038,SUB004,IA1,68,100,81,2026-02-24
S00038,SUB005,IA2,47,100,89,2026-02-06
S00038,SUB006,IA1,87,100,75,2026-01-19
S00038,SUB007,EndSem,64,100,88,2026-01-13
S00038,SUB008,IA1,40,100,67,2026-02-11
S00038,SUB009,Lab,31,100,69,2026-01-30
S00038,SUB010,IA2,41,100,62,2026-02-08
S00039,SUB001,EndSem,49,100,72,2026-02-02
S00039,SUB002,Lab,44,100,60,2026-02-20
S00039,SUB003,EndSem,53,100,72,2026-03-10
S00039,SUB004,Lab,74,100,99,2026-02-22
S00039,SUB005,EndSem,90,100,89,2026-01-16
S00039,SUB006,EndSem,83,100,98,2026-01-17
S00039,SUB007,IA1,51,100,60,2026-01-31
S00039,SUB008,IA1,42,100,82,2026-02-16
S00039,SUB009,IA2,90,100,73,2026-03-12
S00039,SUB010,EndSem,48,100,71,2026-02-03
S00040,SUB001,EndSem,63,100,89,2026-01-23
S00040,SUB002,Lab,45,100,68,2026-02-06
S00040,SUB003,IA1,42,100,92,2026-03-08
S00040,SUB004,IA1,35,100,82,2026-01-29
S00040,SUB005,Lab,64,100,74,2026-02-28
S00040,SUB006,EndSem,84,100,71,2026-01-26
S00040,SUB007,IA1,30,100,72,2026-02-05
S00040,SUB008,IA1,88,100,68,2026-01-14
S00040,SUB009,Lab,65,100,63,2026-01-31
S00040,SUB010,Lab,90,100,83,2026-01-14
S00041,SUB001,Lab,76,100,91,2026-02-13
S00041,SUB002,EndSem,64,100,75,2026-02-22
S00041,SUB003,Lab,82,100,72,2026-02-22
S00041,SUB004,IA1,57,100,83,2026-03-04
S00041,SUB005,IA2,48,100,82,2026-01-30
S00041,SUB006,IA2,38,100,97,2026-03-04
S00041,SUB007,IA2,49,100,88,2026-02-13
S00041,SUB008,IA2,59,100,70,2026-03-03
S00041,SUB009,IA1,53,100,72,2026-01-16
S00041,SUB010,Lab,34,100,91,2026-03-09
S00042,SUB001,EndSem,47,100,100,2026-02-11
S00042,SUB002,EndSem,31,100,82,2026-02-21
S00042,SUB003,Lab,58,100,90,2026-02-09
S00042,SUB004,IA1,85,100,66,2026-02-21
S00042,SUB005,IA2,36,100,67,2026-01-21
S00042,SUB006,IA1,43,100,71,2026-03-03
S00042,SUB007,IA2,40,100,87,2026-03-01
S00042,SUB008,IA2,71,100,76,2026-02-08
S00042,SUB009,IA1,80,100,95,2026-02-01
S00042,SUB010,EndSem,39,100,65,2026-01-19
S00043,SUB001,IA1,39,100,95,2026-01-13
S00043,SUB002,IA2,72,100,99,2026-01-25
S00043,SUB003,Lab,56,100,79,2026-02-24
S00043,SUB004,EndSem,53,100,78,2026-03-13
S00043,SUB005,EndSem,64,100,66,2026-02-17
S00043,SUB006,IA1,59,100,60,2026-01-13
S00043,SUB007,IA1,85,100,92,2026-01-30
S00043,SUB008,IA2,75,100,83,2026-03-11
S00043,SUB009,IA2,74,100,60,2026-03-02
S00043,SUB010,IA2,64,100,83,2026-01-17
S00044,SUB001,Lab,81,100,67,2026-02-12
S00044,SUB002,Lab,50,100,90,2026-01-20
S00044,SUB003,Lab,68,100,97,2026-03-05
S00044,SUB004,Lab,56,100,100,2026-01-26
S00044,SUB005,Lab,41,100,80,2026-02-05
S00044,SUB006,IA1,54,100,99,2026-02-02
S00044,SUB007,EndSem,48,100,78,2026-02-04
S00044,SUB008,EndSem,59,100,61,2026-01-23
S00044,SUB009,IA2,70,100,69,2026-03-04
S00044,SUB010,Lab,77,100,76,2026-03-03
S00045,SUB001,Lab,65,100,68,2026-01-21
S00045,SUB002,Lab,77,100,95,2026-01-29
S00045,SUB003,EndSem,37,100,95,2026-02-02
S00045,SUB004,IA2,62,100,65,2026-01-19
S00045,SUB005,Lab,57,100,61,2026-03-05
S00045,SUB006,EndSem,53,100,100,2026-01-14
S00045,SUB007,Lab,34,100,80,2026-02-03
S00045,SUB008,IA1,88,100,77,2026-02-18
S00045,SUB009,IA1,33,100,88,2026-03-08
S00045,SUB010,IA2,60,100,94,2026-01-23
S00046,SUB001,Lab,58,100,89,2026-03-12
S00046,SUB002,IA2,61,100,69,2026-01-20
S00046,SUB003,IA2,47,100,76,2026-02-21
S00046,SUB004,IA2,68,100,62,2026-01-29
S00046,SUB005,IA2,86,100,99,2026-03-03
S00046,SUB006,IA2,64,100,72,2026-01-22
S00046,SUB007,IA1,75,100,96,2026-01-19
S00046,SUB008,IA2,47,100,73,2026-01-27
S00046,SUB009,IA1,54,100,61,2026-03-07
S00046,SUB010,EndSem,80,100,63,2026-02-17
S00047,SUB001,Lab,65,100,66,2026-03-02
S00047,SUB002,EndSem,65,100,93,2026-03-07
S00047,SUB003,Lab,53,100,66,2026-02-20
S00047,SUB004,IA1,75,100,88,2026-01-19
S00047,SUB005,IA1,43,100,78,2026-02-04
S00047,SUB006,IA2,75,100,79,2026-02-03
S00047,SUB007,EndSem,50,100,88,2026-01-16
S00047,SUB008,IA2,67,100,74,2026-02-18
S00047,SUB009,Lab,80,100,82,2026-01-24
S00047,SUB010,IA1,40,100,85,2026-02-25
S00048,SUB001,IA2,73,100,62,2026-02-07
S00048,SUB002,Lab,72,100,92,2026-01-27
S00048,SUB003,IA1,47,100,62,2026-01-27
S00048,SUB004,IA2,53,100,81,2026-02-28
S00048,SUB005,Lab,71,100,67,2026-02-19
S00048,SUB006,EndSem,69,100,92,2026-02-26
S00048,SUB007,IA2,43,100,71,2026-03-10
S00048,SUB008,IA2,40,100,83,2026-01-19
S00048,SUB009,IA2,34,100,79,2026-02-08
S00048,SUB010,IA1,62,100,86,2026-02-28
S00049,SUB001,IA2,89,100,95,2026-03-01
S00049,SUB002,IA2,80,100,94,2026-01-15
S00049,SUB003,IA2,71,100,70,2026-02-25
S00049,SUB004,EndSem,44,100,76,2026-03-03
S00049,SUB005,Lab,60,100,96,2026-02-11
S00049,SUB006,IA2,33,100,97,2026-03-11
S00049,SUB007,IA2,32,100,77,2026-03-09
S00049,SUB008,IA2,71,100,78,2026-01-24
S00049,SUB009,EndSem,67,100,66,2026-03-03
S00049,SUB010,EndSem,56,100,74,2026-03-09
S00050,SUB001,EndSem,45,100,89,2026-01-19
S00050,SUB002,EndSem,72,100,63,2026-02-10
S00050,SUB003,Lab,75,100,94,2026-01-26
S00050,SUB004,IA2,43,100,88,2026-01-13
S00050,SUB005,IA2,48,100,83,2026-02-24
S00050,SUB006,EndSem,90,100,95,2026-01-21
S00050,SUB007,EndSem,43,100,81,2026-03-10
S00050,SUB008,IA1,50,100,93,2026-01-31
S00050,SUB009,Lab,83,100,73,2026-03-01
S00050,SUB010,Lab,55,100,76,2026-03-07
S00051,SUB001,Lab,69,100,88,2026-03-03
S00051,SUB002,IA1,75,100,80,2026-03-01
S00051,SUB003,EndSem,79,100,71,2026-02-02
S00051,SUB004,IA2,61,100,89,2026-02-26
S00051,SUB005,Lab,69,100,97,2026-01-15
S00051,SUB006,Lab,77,100,97,2026-02-12
S00051,SUB007,IA1,57,100,94,2026-02-07
S00051,SUB008,IA2,87,100,68,2026-01-23
S00051,SUB009,EndSem,50,100,70,2026-02-11
S00051,SUB010,IA1,68,100,76,2026-02-13
S00052,SUB001,EndSem,88,100,79,2026-03-12
S00052,SUB002,IA1,48,100,81,2026-02-27
S00052,SUB003,IA1,56,100,78,2026-02-10
S00052,SUB004,IA1,77,100,68,2026-01-24
S00052,SUB005,Lab,43,100,85,2026-01-26
S00052,SUB006,EndSem,65,100,86,2026-01-19
S00052,SUB007,Lab,73,100,62,2026-01-29
S00052,SUB008,IA2,61,100,72,2026-01-14
S00052,SUB009,Lab,40,100,77,2026-01-19
S00052,SUB010,IA2,73,100,86,2026-02-10
S00053,SUB001,IA1,62,100,95,2026-03-02
S00053,SUB002,IA1,58,100,70,2026-03-12
S00053,SUB003,IA1,47,100,62,2026-01-28
S00053,SUB004,EndSem,46,100,63,2026-01-23
S00053,SUB005,Lab,85,100,70,2026-03-05
S00053,SUB006,EndSem,72,100,95,2026-02-03
S00053,SUB007,IA2,79,100,64,2026-01-29
S00053,SUB008,EndSem,66,100,81,2026-02-26
S00053,SUB009,IA1,39,100,78,2026-03-04
S00053,SUB010,IA1,57,100,64,2026-03-12
S00054,SUB001,Lab,70,100,89,2026-01-20
